,Rk,Pos,Player,College,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,1,SG,Peter Kiss,Bryant,27,35.7,25.2,9.1,20,0.456,1.9,6.3,0.296,5.1,6.5,0.784,1.4,4.3,5.8,3.2,1.7,0.3,4.2,2.2
2,2,PG,Darius McGhee,Liberty,33,33.6,24.6,8.4,18.3,0.456,4.3,11,0.39,3.6,4.1,0.881,0.5,4,4.5,3.6,1.2,0.2,3,1.3
3,3,PG,Antoine Davis,Detroit-Mercy,29,37,23.9,8.2,19.1,0.429,3.9,10.3,0.379,3.6,4.1,0.882,0.5,3.1,3.6,4.4,1,0,3.3,1.7
4,4,SF,Keegan Murray,Indiana,35,31.9,23.5,8.8,15.8,0.554,1.9,4.7,0.398,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9
5,5,SG,Max Abmas,Oral Roberts,30,36.8,22.8,7.5,17.9,0.422,3.8,9.8,0.389,4,4.7,0.85,0.3,3.1,3.4,3.7,1,0.1,2.3,1.9
6,6,SF,Bryce Hamilton,UNLV,32,32.2,21.8,7.6,17.8,0.43,2.5,7.2,0.346,4,5.3,0.768,0.7,4.3,5,2.2,0.8,0.1,1.9,1.8
7,7,PG,"Terrell Brown, Jr.",Washington,32,36.1,21.7,8,17.8,0.452,0.4,1.9,0.2,5.3,6.8,0.772,1.2,3,4.2,4.3,2.2,0.5,2.4,1.5
8,8,PG,Javon Freeman-Liberty,DePaul,24,35,21.7,7.3,17,0.43,2,5.5,0.368,5,6.7,0.739,1.8,5.5,7.3,3.2,1.7,0.1,2.2,2.2
9,9,PG,Khalif Battle,Temple,7,31.7,21.4,7.1,13.3,0.538,3,6.1,0.488,4.1,5.1,0.806,0.4,3.4,3.9,1,0.4,0,2.1,2.3
10,10,PG,Tavian Dunn-Martin,Florida Gulf Coast,33,33.3,21.4,6.7,16.3,0.41,3.2,8.7,0.368,4.8,5.5,0.878,0.5,2.6,3.1,6,1.1,0,3.7,1.4
11,11,SF,Daylen Kountz,Northern Colorado,37,34.3,21.2,7.8,15.2,0.512,1.6,3.8,0.421,4.1,5,0.823,0.4,3.7,4.1,2.6,0.8,0.4,2.4,2.3
12,12,C,Kofi Cockburn,Illinois,28,30.7,20.9,8.1,13.6,0.593,0,0,0,4.8,7.3,0.655,3.4,7.2,10.6,0.8,0.8,1,2.3,2.4
13,13,PG,Jordan Dingle,Pennsylvania,26,31.9,20.9,7.6,17.1,0.446,2.5,7.6,0.335,3.1,3.8,0.81,0.7,3,3.6,2.4,0.8,0,3,1.7
14,14,PG,Ty Gordon,Nicholls State,29,33.9,20.8,7.8,17.3,0.449,3.6,10,0.355,1.7,2.6,0.645,0.7,2.6,3.3,3.1,1.4,0,2.6,1.7
15,15,SG,"Scotty Pippen, Jr.",Vanderbilt,36,33,20.4,6.2,14.9,0.416,1.8,5.5,0.325,6.2,8.4,0.744,0.8,2.7,3.6,4.3,1.9,0.2,3.4,2.4
16,16,SF,Isiaih Mosley,Missouri State,34,31.6,20.4,7.4,14.6,0.504,2.1,4.8,0.427,3.5,3.9,0.902,1,5.2,6.2,2.3,1.2,0.2,2.7,2
17,17,PG,Jordan Walker,UAB,34,31.8,20.3,6.5,16.2,0.4,3.4,8.6,0.396,3.9,4.4,0.88,0.1,2.7,2.8,4.9,1.5,0,3.6,1.9
18,18,SG,Derek St. Hilaire,New Orleans,31,33.4,20.1,6.8,16.3,0.418,1.9,6,0.324,4.6,5.5,0.826,0.3,3.6,3.9,2.6,1.8,0.2,3,2.3
19,19,SF,Tanner Holden,Wright State,36,35.4,20.1,6.8,13.6,0.497,0.4,1.1,0.341,6.1,7.8,0.789,2.2,4.9,7.1,2.6,1.4,0.2,2.5,2.5
20,20,SF,Antonio Reeves,Illinois State,33,35,20.1,7.2,15.3,0.468,2.3,5.9,0.39,3.4,4.2,0.818,0.6,3,3.5,1.8,1.1,0.5,2.3,1.8
21,21,PF,Jamal Cain,Oakland,30,34.9,19.9,7.3,14.6,0.499,1.1,3.8,0.298,4.2,5,0.841,3,7.2,10.2,0.7,1.8,0.6,2.2,3.4
22,22,SG,Malachi Smith,Chattanooga,35,35.4,19.9,7.1,14.3,0.493,1.7,4.1,0.407,4.1,4.9,0.827,1.7,5,6.7,3,1.7,0.1,2.3,1.2
23,23,SF,David Azore,Texas-Arlington,26,34.6,19.8,6.3,15.4,0.406,1.3,4.2,0.309,6,7.1,0.843,0.3,4.2,4.5,1.8,0.9,0.1,3,2
24,24,PG,Souley Boum,UTEP,30,36.7,19.8,6,14.6,0.409,2.1,5.8,0.368,5.7,6.8,0.847,0.6,3.9,4.5,2.9,1.8,0.2,2,2
25,25,SG,"Lamar Norman, Jr.",Western Michigan,30,34.7,19.8,7,15.8,0.445,3.4,9,0.373,2.4,3,0.798,0.4,2.7,3.1,1.8,0.8,0.1,2,1.3
26,26,SF,Johnny Davis,Wisconsin,31,34.2,19.7,6.8,15.9,0.427,1.2,3.9,0.306,5,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2
27,27,SG,Mark Sears,Ohio,35,35.7,19.7,6.2,14,0.444,1.7,4.2,0.408,5.5,6.2,0.885,2,4,6,4.1,1.7,0.1,3.2,1.9
